Invoice No.,Date,Customer,Branch / Warehouse,Salesman,Salesman Code,Salesman Name,Payment Mode,Gross Amount,Discount,Discount %,Tax,Round Off,Net Amount,Cost,Profit,Margin %,Quantity,Item Count,Status
AE-012570,28/04/2026,KALPANA MEDICALS              PERSUDIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,4418.46,179.38,4.06,211.96,-0.04,4451,3987.02,463.98,10.42,14,6,POSTED
AE-012569,28/04/2026,NEW LIFE MEDICAL STORE        MOSABANI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,7070.23,353.51,5,335.82,0.46,7053,6459.03,593.97,8.42,14,6,POSTED
AE-012566,28/04/2026,BHARTI MEDICAL STORE          TELCO,AGARWAL ENTERPRISES-FINAL,13139 - AKASH TELCO,13139,AKASH TELCO,CREDIT,8592.2,0.06,0,429.64,0.18,9022,8278.9,743.1,8.24,66,15,POSTED
AE-012560,28/04/2026,MEDIWISE                      SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,626.8,25.07,4,30.08,0.19,632,569.86,62.14,9.83,2,1,POSTED
AE-012562,28/04/2026,HEALTH PLUS MEDICAL           BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,4827.08,241.4,5,229.3,0.02,4815,4707.16,107.84,2.24,32,7,POSTED
AE-012563,28/04/2026,NEW LIFE MEDICAL STORE        MOSABANI,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,6034.96,301.74,5,286.68,0.1,6020,5610,410,6.81,84,14,POSTED
AE-012564,28/04/2026,KALPANA MEDICALS              PERSUDIH,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,11898.9,713.93,6,559.22,-0.19,11744,10969.14,774.86,6.6,60,16,POSTED
AE-012561,28/04/2026,JEEVAN JYOTI MEDICALS         SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1008.15,30.24,3,48.9,0.19,1027,935.7,91.3,8.89,7,2,POSTED
AE-012568,28/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,98 - MED.REP,98,MED.REP,CREDIT,4587.62,47.97,1.05,226.98,0.37,4767,4250.83,516.17,10.83,5,2,POSTED
AE-012559,28/04/2026,VINAYAK MEDICAL               TELCO,AGARWAL ENTERPRISES-FINAL,13139 - AKASH TELCO,13139,AKASH TELCO,CREDIT,1909.2,57.26,3,92.58,0.48,1945,1770.08,174.92,8.99,15,7,POSTED
AE-012558,28/04/2026,KAMAL PHARMACEUTICALS         SAKCHI JSR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,2267.05,113.34,5,107.66,-0.37,2261,2083.99,177.01,7.83,20,5,POSTED
AE-012556,28/04/2026,MEDICINE HUB                  SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,815.45,24.46,3,39.54,0.47,831,753.53,77.47,9.32,11,3,POSTED
AE-012554,28/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,307.56,0,0,15.38,0.06,323,276.8,46.2,14.3,2,1,POSTED
AE-012557,28/04/2026,HEALTH MART                   SUNDERNAGA,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,3488.9,139.57,4,167.5,0.17,3517,3139.97,377.03,10.72,27,11,POSTED
AE-012555,28/04/2026,BIHAR MEDICAL STORE           GHATSILA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,764.7,38.26,5,36.32,0.24,763,757.02,5.98,0.78,6,1,POSTED
AE-012553,28/04/2026,MOON MEDICAL                  GHATSILA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,1482.32,47.27,3.19,71.76,0.19,1507,1357.62,149.38,9.91,44,5,POSTED
AE-012550,28/04/2026,BIMLA MEDICAL                 ADITURPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,3093.09,92.81,3,150.02,-0.3,3150,3209.92,-59.92,-1.9,7,3,POSTED
AE-012551,28/04/2026,FAMILY CARE PHARMA            MANGO,AGARWAL ENTERPRISES-FINAL,PCN - SHAMBHU MANGO,PCN,SHAMBHU MANGO,CREDIT,3284.19,164.19,5,156,0,3276,3027.05,248.95,7.6,24,11,POSTED
AE-012549,28/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,156.5,4.7,3,7.58,-0.38,159,140.85,18.15,11.42,2,2,POSTED
AE-012552,28/04/2026,SANJAY MEDICAL STORES         SARAIKELA,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,7893.28,236.76,3,382.84,-0.36,8039,7301.74,737.26,9.17,70,13,POSTED
AE-012547,28/04/2026,JAI MATA DI MEDICAL           MANGO,AGARWAL ENTERPRISES-FINAL,197 - B.M.V.STORES TELCO,197,B.M.V.STORES TELCO,CREDIT,658.69,19.82,3.01,31.94,0.19,671,555.29,115.71,17.24,20,6,POSTED
AE-012545,28/04/2026,MANOJ MEDICAL HALL            BHUIYADIH,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,297.65,14.88,5,14.14,0.09,297,290.45,6.55,2.21,2,2,POSTED
AE-012546,28/04/2026,SANJAY MEDICAL STORES         SARAIKELA,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,6717.19,201.47,3,325.8,0.48,6842,6125.06,716.94,10.48,70,14,POSTED
AE-012544,28/04/2026,SHOBHA ENTERPRISES            MANGO DIMNAROAD,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,17746.9,1419.73,8,816.32,-0.49,17143,16604.15,538.85,3.14,143,8,POSTED
AE-012543,28/04/2026,GUPTA MEDICAL                 SONARI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,5611.33,336.66,6,263.74,-0.41,5538,5237.02,300.98,5.43,48,10,POSTED
AE-012542,28/04/2026,LAXMI PHARMACEUTICALS         PARSUDIH,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1410.31,70.52,5,67.02,0.19,1407,1269.28,137.72,9.79,12,9,POSTED
AE-012541,28/04/2026,SHOBHA ENTERPRISES            MANGO DIMNAROAD,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,46661.8,3732.96,8,2146.46,-0.3,45075,41995.5,3079.5,6.83,200,12,POSTED
AE-012540,28/04/2026,NEW SAINI MEDICAL             ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,6625.74,331.29,5,466.12,0.43,6761,6128.7,632.3,9.35,32,12,POSTED
AE-012548,28/04/2026,SHRI AJAY MEDICAL             NEW BARADWARI,AGARWAL ENTERPRISES-FINAL,98 - MED.REP,98,MED.REP,CREDIT,10167,508.34,5,482.92,0.42,10142,9609.48,532.52,5.25,36,2,POSTED
AE-012539,28/04/2026,MANISH MEDICALS               BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,531.88,26.59,5,25.26,0.45,531,478.62,52.38,9.86,2,1,POSTED
AE-012537,28/04/2026,BIHAR MEDICAL STORE           GHATSILA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,2484.72,124.24,5,118.02,0.5,2479,2236.24,242.76,9.79,8,1,POSTED
AE-012536,28/04/2026,AGARWAL MEDICAL STORE         SAKCHI JSR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,412.35,20.61,5,19.58,2743.68,3155,428.62,2726.38,86.41,5,2,POSTED
AE-012538,28/04/2026,BINAY MEDICALS                KADMA,AGARWAL ENTERPRISES-FINAL,98 - MED.REP,98,MED.REP,CREDIT,38666.6,0,0,1933.34,0.06,40600,34799.8,5800.2,14.29,70,1,POSTED
AE-012533,28/04/2026,DOCTOR^S PHARMA               MANGO,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,2258.6,90.34,4,108.4,0.34,2277,2032.76,244.24,10.73,16,7,POSTED
AE-012534,28/04/2026,AGARWAL MEDICAL STORE         SAKCHI JSR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,6145.18,307.25,5,291.88,0.19,6130,5594.88,535.12,8.73,48,15,POSTED
AE-012535,28/04/2026,SHAW MEDICAL                  PERSUDIH,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,2099.34,125.96,6,98.66,-0.04,2072,1782.59,289.41,13.97,7,2,POSTED
AE-012532,28/04/2026,GUPTA MEDICAL                 SONARI,AGARWAL ENTERPRISES-FINAL,1105 - SUBHASH,1105,SUBHASH,CREDIT,2674.06,160.45,6,125.7,-0.31,2639,2531.82,107.18,4.06,17,5,POSTED
AE-012528,28/04/2026,SUNDER MEDICAL                BISTUPUR,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1022.64,51.13,5,48.58,-0.09,1020,920.37,99.63,9.77,6,5,POSTED
AE-012530,28/04/2026,SHANTI MEDICAL(SAKCHI)        SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,358.89,17.95,5,17.04,0.02,358,307.59,50.41,14.08,3,1,POSTED
CN00291,28/04/2026,SHAW MEDICAL                  PERSUDIH,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,387.6,23.26,6,18.22,0.44,383,348.84,34.16,8.92,1,1,RETURN
AE-012525,28/04/2026,SAI MEDICARE                  SONARI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1584.76,79.24,5,75.28,0.2,1581,1417.99,163.01,10.31,11,5,POSTED
AE-012529,28/04/2026,AGARWAL MEDICAL STORE(PERSUDIHPERSUDIH.JSR.,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,4543.52,197.46,4.35,217.32,-0.38,4563,4300.66,262.34,5.75,61,19,POSTED
CN00290,28/04/2026,SANDEEP MEDICALS              SAKCHI,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,936.52,33.12,3.54,45.18,0.42,949,842.87,106.13,11.18,2,2,RETURN
AE-012527,28/04/2026,SHREE SHYAM MEDICAL(DHALBHUMGADHALBHUMGA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,4757.74,285.47,6,223.58,0.15,4696,4370.09,325.91,6.94,32,15,POSTED
AE-012526,28/04/2026,HARI OM MEDICALS              ADITYAPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,2177.98,87.11,4,104.56,-0.43,2195,1960.18,234.82,10.7,10,4,POSTED
CN00289,28/04/2026,ABHIKA MEDICARE               MANGO,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,285.68,11.43,4,13.72,0.03,288,259.71,28.29,9.82,1,1,RETURN
AE-012524,28/04/2026,AGARWAL MEDICAL STORE(PERSUDIHPERSUDIH.JSR.,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,3608.96,154.02,4.27,172.74,0.32,3628,3284.25,343.75,9.47,30,17,POSTED
CN00288,28/04/2026,KAMAL MART                    KADMA,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,214.29,12.86,6,10.08,0.49,212,192.86,19.14,9.03,1,1,RETURN
AE-012522,28/04/2026,NATIONAL MEDICALS             MANGO,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,4241.89,212.05,5,201.48,-0.32,4231,4087.77,143.23,3.39,23,6,POSTED
AE-012523,28/04/2026,SHREE SHYAM MEDICAL(DHALBHUMGADHALBHUMGA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,4721.5,283.3,6,259.18,-0.38,4697,4375.62,321.38,6.84,29,15,POSTED
AE-012520,28/04/2026,MAA LAXMI MEDICAL             BAHARAGORA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,444.12,17.76,4,21.3,0.34,448,399.72,48.28,10.78,7,2,POSTED
AE-012531,28/04/2026,AGARWAL MEDICAL STORE         SAKCHI JSR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,7473.43,320.1,4.28,357.66,0.01,7511,6804.9,706.1,9.4,38,15,POSTED
AE-012518,28/04/2026,ASHISH MEDICALS               TELCO,AGARWAL ENTERPRISES-FINAL,13139 - AKASH TELCO,13139,AKASH TELCO,CREDIT,1858.66,74.35,4,89.24,0.45,1874,1612.51,261.49,13.95,18,6,POSTED
AE-012517,28/04/2026,KUMAR MEDICALS                DIMNA,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1230.73,61.55,5,58.46,0.36,1228,1107.64,120.36,9.8,9,3,POSTED
AE-012516,28/04/2026,SHOBHA MEDICALS               KADMA,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,1400.74,56.03,4,67.24,0.05,1412,1260.64,151.36,10.72,8,2,POSTED
AE-012521,28/04/2026,NATIONAL MEDICALS             MANGO,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,5260.17,263.01,5,249.88,-0.04,5247,4820.02,426.98,8.14,23,17,POSTED
AE-012515,28/04/2026,NEW VIMAL MEDICAL             TELCO,AGARWAL ENTERPRISES-FINAL,13139 - AKASH TELCO,13139,AKASH TELCO,CREDIT,2580.7,77.42,3,125.16,-0.44,2628,2335.94,292.06,11.11,32,11,POSTED
AE-012514,28/04/2026,NATIONAL MEDICALS             MANGO,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,1053.24,52.67,5,124.88,-0.45,1125,867.43,257.57,22.9,3,2,POSTED
AE-012519,28/04/2026,SUNNY MEDICAL                 SONARI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,5276.81,263.83,5,250.66,0.36,5264,4822.97,441.03,8.38,30,15,POSTED
AE-012513,28/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,205 - KUNAL RELIEF CENTRE ADITYAPUR,205,KUNAL RELIEF CENTRE ADITYAPUR,CREDIT,149.43,5.98,4,7.18,0.37,151,163.01,-12.01,-7.95,1,1,POSTED
AE-012512,28/04/2026,AMAR DRUG AGENCY(RETAIL)      KITADIH,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,776.93,31.08,4,37.3,-0.15,783,699.24,83.76,10.7,7,3,POSTED
AE-012511,28/04/2026,B.M.MEDICALS                  MOUBHANDAR,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,11297.99,0,0,564.9,0.11,11863,10310.81,1552.19,13.08,36,8,POSTED
AE-012509,28/04/2026,CHAWLA MEDICALS               BISTUPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,1460.04,87.6,6,68.62,-0.06,1441,1314.07,126.93,8.81,7,2,POSTED
AE-012508,28/04/2026,VEI CARE MEDICAL              MANGO,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,2193.65,109.7,5,104.2,-0.15,2188,1912.64,275.36,12.59,17,3,POSTED
AE-012510,28/04/2026,CHAWLA MEDICALS               BISTUPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,4615.41,276.94,6,216.92,-0.39,4555,4447.49,107.51,2.36,29,10,POSTED
CN00287,28/04/2026,NEW LIFE MEDICAL STORE        MOSABANI,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,2325.74,116.28,5,110.48,0.06,2320,2096.27,223.73,9.64,6,4,RETURN
AE-012507,28/04/2026,MAHALAXMI MEDICAL STORES      TRAFFIC COLONY,AGARWAL ENTERPRISES-FINAL,15225 - MAHAVIR BAGBERA,15225,MAHAVIR BAGBERA,CREDIT,2954.75,177.31,6,138.88,-0.32,2916,2796.83,119.17,4.09,37,9,POSTED
AE-012506,28/04/2026,RAM KRISHNA MEDICAL(GHATSILA) GHATSILA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,3899.95,233.98,6,183.3,-0.27,3849,3567.79,281.21,7.31,28,10,POSTED
AE-012505,28/04/2026,CHAWLA MEDICALS               BISTUPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,13471.89,808.3,6,721.32,0.09,13385,12390.19,994.81,7.43,45,15,POSTED
CN00286,28/04/2026,MEDIWORLD                     JUGSALAI,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,651.24,32.56,5,30.94,0.38,650,586.11,63.89,9.83,3,1,RETURN
CN00285,28/04/2026,CHOUDHARY MEDICARE HOSPITAL   BARADWARI,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,885.32,44.27,5,42.06,-0.11,883,796.8,86.2,9.76,4,1,RETURN
AE-012504,28/04/2026,BIHAR MEDICAL                 BAHARAGORA,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,3967.24,198.36,5,188.46,-0.34,3957,3570.6,386.4,9.76,18,3,POSTED
AE-012502,28/04/2026,RAM KRISHNA MEDICAL(GHATSILA) GHATSILA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,5793.91,347.65,6,272.3,0.44,5719,5214.51,504.49,8.82,37,15,POSTED
AE-012501,28/04/2026,BIHAR MEDICAL STORE           GHATSILA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,6769.48,338.45,5,321.54,0.43,6753,6201.88,551.12,8.16,49,14,POSTED
AE-012500,28/04/2026,DRUG LAND                     BARAJAMDA,AGARWAL ENTERPRISES-FINAL,#2150 - VATIKA,#2150,VATIKA,CREDIT,1738.05,52.14,3,84.3,-0.21,1770,1564.24,205.76,11.62,11,3,POSTED
AE-012503,28/04/2026,MEDICINE @ MEDICINE           BAHARAGORA,AGARWAL ENTERPRISES-FINAL,OZA - SUJAL/TRANSPORT,OZA,SUJAL/TRANSPORT,CREDIT,5949.65,238,4,285.58,-0.23,5997,5493.62,503.38,8.39,51,14,POSTED
AE-012498,28/04/2026,KALPANA MEDICAL HALL          BARIDIH,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,810.7,24.32,3,39.32,0.3,826,729.65,96.35,11.66,5,1,POSTED
AE-012499,28/04/2026,PURNIMA MEDICAL STORE         ADITYAPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,279.6,11.18,4,13.42,0.16,282,242.8,39.2,13.9,20,1,POSTED
AE-012494,28/04/2026,CASH SALE,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,119.27,0,0,5.96,-0.23,125,107.34,17.66,14.13,1,1,POSTED
AE-012495,28/04/2026,NEW SAINI MEDICAL             ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,605.65,30.28,5,28.76,-0.13,604,545.08,58.92,9.75,2,2,POSTED
CN00284,28/04/2026,CITY CARE MEDICAL             MANGO CHEPA PUL,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,9676.7,580.59,6,454.78,0.11,9551,8709.03,841.97,8.82,11,4,RETURN
AE-012496,28/04/2026,SHREE SAI MEDICAL             GHATSILA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,5162.88,206.51,4,247.82,-0.19,5204,4657.12,546.88,10.51,30,16,POSTED
AE-012497,28/04/2026,AGARWAL MEDICALS SAKCHI       SAKCHI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,10916.99,708.23,6.49,600.42,-0.18,10809,10051.88,757.12,7,38,16,POSTED
AE-012493,28/04/2026,CITI MEDICAL                  ADITYAPUR,AGARWAL ENTERPRISES-FINAL,1099 - VISHAL ADITYAPUR,1099,VISHAL ADITYAPUR,CREDIT,1885.76,94.31,5,89.58,-0.03,1881,1775.28,105.72,5.62,20,6,POSTED
AE-012490,28/04/2026,ABHISHAK MEDICALS             GHATSILA,AGARWAL ENTERPRISES-FINAL,WZB - RUPAK GHATSILA,WZB,RUPAK GHATSILA,CREDIT,522.86,15.69,3,25.36,0.47,533,470.58,62.42,11.71,2,1,POSTED
AE-012489,28/04/2026,AASHIRWAD MEDICAL             GHATSILA,AGARWAL ENTERPRISES-FINAL,WZB - RUPAK GHATSILA,WZB,RUPAK GHATSILA,CREDIT,2342.9,70.29,3,113.64,-0.25,2386,2108.6,277.4,11.63,10,1,POSTED
AE-012488,28/04/2026,KAMAL MART                    KADMA,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,1527.24,91.63,6,71.78,-0.39,1507,1527.24,-20.24,-1.34,4,1,POSTED
AE-012491,28/04/2026,KAMAL PHARMACEUTICALS         SAKCHI JSR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,4178.56,208.93,5,198.5,-0.13,4168,3907.2,260.8,6.26,18,7,POSTED
AE-012492,28/04/2026,MEDICINE MART.                MANGO,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,2433.64,146.06,6,175.6,-0.18,2463,2205.56,257.44,10.45,31,9,POSTED
AE-012485,28/04/2026,MEDICINE MART.                MANGO,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,3787.89,227.26,6,178.06,0.31,3739,3477.71,261.29,6.99,29,15,POSTED
AE-012484,28/04/2026,SONI MEDICARE                 GHATSILA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,3067.94,153.39,5,145.76,-0.31,3060,2801.9,258.1,8.43,27,14,POSTED
AE-012483,28/04/2026,KAMAL PHARMACEUTICALS         SAKCHI JSR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,2333.52,116.68,5,110.82,0.34,2328,2100.19,227.81,9.79,13,3,POSTED
AE-012482,28/04/2026,MEDICINE MART.                MANGO,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,3735.48,224.14,6,175.54,0.12,3687,3373.81,313.19,8.49,52,16,POSTED
AE-012487,28/04/2026,NEW OM MEDICAL STORE          GHATSILA,AGARWAL ENTERPRISES-FINAL,WZB - RUPAK GHATSILA,WZB,RUPAK GHATSILA,CREDIT,8574.18,176.09,2.05,419.9,0.01,8818,7837.15,980.85,11.12,52,17,POSTED
AE-012478,28/04/2026,MOON MEDICAL                  GHATSILA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,3054.7,152.73,5,145.14,-0.11,3047,2804.08,242.92,7.97,21,10,POSTED
AE-012479,28/04/2026,MEDICINE MART.                MANGO,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,5125.58,307.54,6,378.54,0.42,5197,4615.77,581.23,11.18,30,13,POSTED
AE-012480,28/04/2026,JALARAM MEDICAL HALL          CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,4224.15,253.54,6,198.54,-0.15,4169,3854.11,314.89,7.55,52,11,POSTED
AE-012476,28/04/2026,MANKA MEDICAL STORE           JUGSAALI,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,4193.17,167.73,4,354.86,-0.3,4380,3779.29,600.71,13.71,50,9,POSTED
AE-012474,28/04/2026,TATA 1MG HEALTHCARE SOLUTIONS BISTUPUR,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,2348.6,164.4,7,109.22,-0.42,2293,2113.72,179.28,7.82,2,1,POSTED
AE-012477,28/04/2026,MOON MEDICAL                  GHATSILA,AGARWAL ENTERPRISES-FINAL,OXC - SUJAL,OXC,SUJAL,CREDIT,4757.6,237.88,5,225.98,0.3,4746,4281.83,464.17,9.78,31,15,POSTED
AE-012472,28/04/2026,SHREE KRISHNA PHARMA(GOLMURI) GOLMURI,AGARWAL ENTERPRISES-FINAL,AOHX - URGENT,AOHX,URGENT,CREDIT,601.15,36.05,6,28.26,-0.36,593,510.44,82.56,13.92,7,2,POSTED
AE-012470,28/04/2026,CITY MEDICAL                  CHAKRADHARPUR,AGARWAL ENTERPRISES-FINAL,SE - TRANSPORT,SE,TRANSPORT,CREDIT,1996,119.76,6,337.72,0.04,2214,1836.31,377.69,17.06,1,1,POSTED
AE-012469,28/04/2026,NEW MEDICINE HOUSE            TELCO,AGARWAL ENTERPRISES-FINAL,13139 - AKASH TELCO,13139,AKASH TELCO,CREDIT,1820.32,72.8,4,112.98,0.5,1861,1638.33,222.67,11.97,15,7,POSTED
AE-012473,28/04/2026,BHARAT HEALTH CARE            MANGO,AGARWAL ENTERPRISES-FINAL,325 - MOHANTY MEDICALS GOLMURI,325,MOHANTY MEDICALS GOLMURI,CREDIT,2446.76,97.88,4,113.1,0.02,2462,2291.95,170.05,6.91,22,14,POSTED
AE-012471,28/04/2026,HIND HEALTH CARE              AZAD NAGAR,AGARWAL ENTERPRISES-FINAL,,,,CREDIT,3955.32,197.78,5,257.96,0.5,4016,3584.26,431.74,10.75,33,15,POSTED
AE-012481,28/04/2026,KEDIA AGNENCIES (DR)          GIRIDIH,AGARWAL ENTERPRISES-FINAL,254 - ARDESHIR DALAL MEMO. HOSPITAL BARIDIH,254,ARDESHIR DALAL MEMO. HOSPITAL BARIDIH,CREDIT,102434.7,8194.75,8,4711.98,0.07,98952,92639.74,6312.26,6.38,775,29,POSTED
